879.03,483.63
880.56,1535.9
170.4,1371.8
189.78,645.47
410.41,581.94
400.73,1431.6
390.8,1420
526.66,550.52
505.97,1464.9
660.35,564.1
643.8,1456.1
366.74,623.56
350.84,1390.8
775.84,509.61
762.73,1515.8
288.56,622.13
265.76,1382.9
776.7,670.88
779.43,1354.2
544.4,1304.8
454.19,1287.1
278.54,1257.8
892.89,1341.5
758.46,1328.5
206.71,1269.2
376.78,725.85
915.21,637.88
361.5,1272
874.63,1337.7
563,697.5
365.05,1284.7
651,1335.5
223,747.5
298,740.5
907,1366
897,1355
649,1314
207,1260
466,720
555,709
665,682
909,653
